year,months,organ,kind,number,numofpeople
113,5,永和分局,罰鍰,42,42
113,5,三重分局,罰鍰,211,211
113,5,新莊分局,罰鍰,176,176
113,5,土城分局,罰鍰,180,180
113,5,新店分局,罰鍰,399,399
113,5,蘆洲分局,罰鍰,137,137
113,5,三峽分局,罰鍰,111,111
113,5,樹林分局,罰鍰,31,31
113,5,汐止分局,罰鍰,34,34
113,5,淡水分局,罰鍰,59,59
113,5,瑞芳分局,罰鍰,6,6
113,5,金山分局,罰鍰,4,4
113,5,林口分局,罰鍰,33,33
113,5,總　　　計,没入攤架,0,0
113,5,板橋分局,没入攤架,0,0
113,5,海山分局,没入攤架,0,0
113,5,中和分局,没入攤架,0,0
113,5,永和分局,没入攤架,0,0
113,5,三重分局,没入攤架,0,0
113,5,新莊分局,没入攤架,0,0
113,5,土城分局,没入攤架,0,0
113,5,新店分局,没入攤架,0,0
113,5,蘆洲分局,没入攤架,0,0
113,5,三峽分局,没入攤架,0,0
113,5,樹林分局,没入攤架,0,0
113,5,汐止分局,没入攤架,0,0
113,5,淡水分局,没入攤架,0,0
113,5,瑞芳分局,没入攤架,0,0
113,5,金山分局,没入攤架,0,0
113,5,林口分局,没入攤架,0,0
113,5,總　　　計,拆除攤架,0,0
113,5,板橋分局,拆除攤架,0,0
113,5,海山分局,拆除攤架,0,0
113,5,中和分局,拆除攤架,0,0
113,5,永和分局,拆除攤架,0,0
113,5,三重分局,拆除攤架,0,0
113,5,新莊分局,拆除攤架,0,0
113,5,土城分局,拆除攤架,0,0
113,5,新店分局,拆除攤架,0,0
113,5,蘆洲分局,拆除攤架,0,0
113,5,三峽分局,拆除攤架,0,0
113,5,樹林分局,拆除攤架,0,0
113,5,汐止分局,拆除攤架,0,0
113,5,淡水分局,拆除攤架,0,0
113,5,瑞芳分局,拆除攤架,0,0
113,5,金山分局,拆除攤架,0,0
113,5,林口分局,拆除攤架,0,0
113,5,總　　　計,勸導,1023,1023
113,5,板橋分局,勸導,189,189
113,5,海山分局,勸導,45,45
113,5,中和分局,勸導,188,188
113,5,永和分局,勸導,0,0
113,5,三重分局,勸導,23,23
113,5,新莊分局,勸導,231,231
113,5,土城分局,勸導,162,162
113,5,新店分局,勸導,0,0
113,5,蘆洲分局,勸導,100,100
113,5,三峽分局,勸導,33,33
113,5,樹林分局,勸導,5,5
113,5,汐止分局,勸導,0,0
113,5,淡水分局,勸導,0,0
113,5,瑞芳分局,勸導,40,40
113,5,金山分局,勸導,7,7
113,5,林口分局,勸導,0,0
113,6,總　　　計,總計,2604,2604
113,6,板橋分局,總計,361,361
113,6,海山分局,總計,153,153
113,6,中和分局,總計,253,253
113,6,永和分局,總計,33,33
113,6,三重分局,總計,226,226
113,6,新莊分局,總計,382,382
113,6,土城分局,總計,272,272
113,6,新店分局,總計,354,354
113,6,蘆洲分局,總計,244,244
113,6,三峽分局,總計,112,112
113,6,樹林分局,總計,28,28
113,6,汐止分局,總計,24,24
113,6,淡水分局,總計,90,90
113,6,瑞芳分局,總計,40,40
113,6,金山分局,總計,6,6
113,6,林口分局,總計,26,26
113,6,總　　　計,罰鍰,1722,1722
113,6,板橋分局,罰鍰,248,248
113,6,海山分局,罰鍰,113,113
113,6,中和分局,罰鍰,134,134
113,6,永和分局,罰鍰,33,33
113,6,三重分局,罰鍰,191,191
113,6,新莊分局,罰鍰,165,165
