SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,district,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE004170,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F副處長室門口走道,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5139459,25.0409713,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2F walkway at the entrance of the Deputy Commissioner's Office, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004171,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F人事主任室外走道低樑,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5141736,25.0404362,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2F Personnel Director's outdoor walkway is low beam, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004172,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F第一會議室內-1,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5141936,25.0406882,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"1-Inside the first conference room on the 2nd floor, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004173,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F第一會議室內-2,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5141936,25.0406882,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2-Inside the first conference room on the 2nd floor, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004175,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部1F路燈科,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5139366,25.0406111,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"1F Street Lamp Division, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004177,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部1F品管及職安科,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號1F,121.5139433,25.0405852,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"The Quality Control and Occupational Safety Section on 1F, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004178,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部1F品管科巡查小組,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號1F,121.5141936,25.0406882,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"Occupational safety supervision business on 1F, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004179,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部1F工務科-土木股,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號1F,121.5142954,25.0407578,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"Public Works Division on 1F, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004181,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部1F專委室及秘書主任室中間走道,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號1F,121.5141936,25.0406882,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"The middle walkway between the special committee room and the secretary's office 1F, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004182,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部1F配合科及文書股外中間走道,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號1F,121.5142152,25.0405014,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"1F Intermediate walkway outside the Coordination Section and the Clerical Unit, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004183,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部1F第二會議室內,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號1F,121.5139198,25.0409564,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"1F in the second meeting room, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
